source;protocol;destination
ADA-BO;Univers;ADA;
ADA-BO;Univers;Applic de  test
other_DG;DBLINK;other_DG
DG_EPRS;DBLINK;GEDA
DG_EPRS;DBLINK;DG_EPRS
DG_EPRS;DBLINK;CODICT
DG_EPRS;DBLINK;GEDA
CODADD-BO;DBLINK;CODICT
CODICT-BO;REPLICATION-SNAPSHOT;CODICT
CODICT-BO;DBLINK;CODICT
EPARLIAMENT-BO;DBLINK;AT4AM
EPARLIAMENT-BO;DBLINK;CODICT
EPARLIAMENT-BO;DBLINK;EPADES2
EPETITION2-BO;Univers;E-PETITION2
other_DG;DBLINK;FINICS-BO;
other_DG;REPLICATION-IMPORT/EXPORT;other_DG
other_DG;DBLINK;FINICS2K;
other_DG;DBLINK;other_DG
other_DG;DBLINK;FINICS2K;
other_DG;DBLINK;other_DG
other_DG;DBLINK;FINICS2K;
other_DG;DBLINK;FINORD;
other_DG;DBLINK;other_DG
GEDA-BO;Univers;GEDA
GEDA-BO;DBLINK;CODICT
GEDA-BO;Univers;GEDA
IPMS-BO;DBLINK;CODICT
other_DG;Univers;JIRA
MADIS-BO;Univers;other_DG
MEP-BO;Univers;CODICT
MEPDG2-BO;DBLINK;CODICT
MEPDG2-BO;DBLINK;CODICT
other_DG;APPEL DE FONCTION;other_DG
PERICLES-BO;Univers;other_DG
SDA-BO;DBLINK;CODICT
SDA-BO;DBLINK;SDA
other_DG;Univers;other_DG
other_DG;Univers;other_DG
other_DG;Univers;other_DG
other_DG;Univers;CHOMAGEAPA;
other_DG;Univers;other_DG
other_DG;Univers;other_DG
other_DG;Univers;other_DG
other_DG;Email;other_DG
other_DG;Univers;other_DG
other_DG;DBLINK;CODICT
other_DG;DBLINK;other_DG
STATSSCE-BO;DBLINK;CODICT
STATSSCE-BO;DBLINK;CRE
STATSSCE-BO;DBLINK;TORIS
TOP-BO;DBLINK;CODICT
TOP-BO;DBLINK;TOP
TORIS-BO;Email;TOP
VISIT-BO;Univers;other_DG
